00001 WSNAccount           A 00004.90 0001 N
00002 WSSAccount           A 00004.95 0002 S
00003 WAAccount            A 00000.00 0001 N
00004 TTSNAccount          A 00199.90 0001 N
00005 TTSSAccount          A 00199.95 0002 S
00006 TFNSAccount          A 00000.00 0001 N
00007 TFSSAccount          A 00000.00 0002 S
00008 TFAAccount           A 00000.00 0001 N
00009 CPAccount            A 00100.00 0002 N
00010 DSNAccount           A 00104.90 0001 N
00011 DSSAccount           A 00104.95 0002 S
00012 DAAccount            A 00105.00 0001 N
00013 DeleteAccount        A 00100.00 0000 N
00014 EDAccount            A 00150.00 0003 N
00015 DUBAccount           A 99999.99 0000 N
00016 CAccount             A 00500.00 0000 N
00017 CAccount             A 00500.00 0001 N
00018 Spongebob Squarepant A 00001.00 0000 N
00000 END_OF_FILE          D 00000.00 0000 N
